RAZON SOCIAL;DIRECCIÓN;TELÉFONO;ABIERTO 24 HORAS;ENTIDAD QUE VIGILA
Droguería Luna Park;CL 12 SUR 14 57;2096482;2;Rafael Uribe
Droguería Lunita;KR 75B 62 04 SUR;7828075;2;Vista Hermosa
Droguería Lusan;AC 3 39 14;0;2;Sur
Droguería Luscap;KR 95 151 44;3095307;2;Suba
Droguería Luvar No 01;KR 105 64 D 05;4424446;2;Engativá
Droguería Luvi;CL 17 98 05;4150120;2;Fontibón
Droguería Luz;KR 17 7 39;2436270;2;Centro Oriente
Droguería LYJ;KR 69 I 67 25;2407598;2;Engativá
Droguería M & D;CL 34 SUR 11 10;4071901;2;Rafael Uribe
Droguería M & JF;CL 66A 83 04 PI 1;4593045;2;Engativá
Droguería M & M;KR 3 49 B 11 S;2790226;2;Rafael Uribe
Droguería M Y D;CL 31 SUR 11 04;7591208;2;Rafael Uribe
Droguería M Y M;CL 63 C 69 P 05;2313228;2;Engativá
Droguería Macgs De Colombia No 1;CL 168 45A 88;4823535;2;Suba
Droguería Macgs Economica Principal;CL 167 46 02;4823535;2;Suba
Droguería Macgs Economica SUC 1;KR 48 168 14;5274327;2;Suba
Droguería Madrid Jahz;KR 20 23 18 SUR;4718762;2;Rafael Uribe
Droguería Madrigal 101;KR 100 B 77 C 05;4134304;2;Engativá
Droguería Mafe;DG 51A SUR 57 29;4793457;2;Tunjuelito
Droguería Maferst;TV 86A 83A 63;2762736;2;Engativá
Droguería Magali's;DG 88 110 C 22;4317417;2;Engativá
Droguería Magna;KR 110 79 B 44;4919415;2;Engativá
Droguería Mana;CL 129D 104D 21;5352607;2;Suba
Droguería Mana Del Barrio;TV 4BIS ESTE 27A 28 SUR;5609586;2;San Cristóbal
Droguería Manantial CJM 2;CL 27 SUR 12B 28;;2;Rafael Uribe
Droguería Manantial De La 68;AC 68 61 46;4793692;2;Chapinero
Droguería Manantial De Vida;CL 35 SUR 25A 06;7200819;2;Rafael Uribe
Droguería Manantial Del Sur;KR 6C 49D 34 SUR;7140385;2;Rafael Uribe
Droguería Manantial JN;KR 18 A BIS 186 C 60 LC 1;6716146;2;Usaquén
Droguería Manzanares;CL 68 115 C 60 LC 3;5437994;2;Engativá
Droguería Manzanares BF;KR 110 68 B 62;5487425;2;Engativá
Droguería Manzanares BF 2;TV 113F 67A 58;7963944;2;Engativá
Droguería Manzanares H Y E;CL 69 117A 06;3027707;2;Engativá
Droguería Marandu No 1;KR 112 69 A 11;2278385;2;Engativá
Droguería Maranta;AK 45 187 30 LC 14;6700994;2;Usaquén
Droguería Marbelco;KR 103A 78 16;2271533;2;Engativá
Droguería Maria Samdan;CL 51 SUR 18C 04;3014061;2;Tunjuelito
Droguería Mariam;KR 17N 70B 56 SUR;7906896;2;Vista Hermosa
Droguería Marian;KR 17F 71A 95 SUR CASA 81;0;2;Vista Hermosa
Droguería Mariana;DG 45A SUR 13J 55;7692888;2;Rafael Uribe
Droguería Maricel;CL 52 SUR 8 29;2053490;2;Tunjuelito
Droguería Marichuela;DG 76B SUR 1B 03;4748648;2;Usme
Droguería Mariher;CL 131 100A 89;6846665;2;Suba
Droguería Marimil;KR 69 64 F 70;2315152;2;Engativá
Droguería Marion;CL 59C SUR 48B 02;7150556;2;Vista Hermosa
Droguería Marjos;KR 18 185 B 04;6724192;2;Usaquén
Droguería Marleny;TV 73A 82 58;4909716;2;Engativá
Droguería Marluz;CL 13 SUR 24H 11;4785922;2;Rafael Uribe
Droguería Mary;KR 125 66 A 23;3436924;2;Engativá
Droguería Mas Rebajas 145 A;KR 17 145 A 70 LC 1;6484904;2;Usaquén
Droguería Mas Salud Farmacia Total;CL 66A 80 04;4382233;2;Engativá
Droguería Mas Salud Para Todos;CL 33 SUR 41 A 30;3099468;2;Sur
Droguería Matiuz;DG 22 B 58 87 LC 6;2229818;2;Chapinero
Droguería Max Descuentos;CL 69F SUR 2A 79;7674452;2;Usme
Droguería Maxi Farma NB;TV 24I 15 88 SUR;3728168;2;Rafael Uribe
Droguería Maxi Farma WB;TV 24I 15 88 SUR;3728168;2;Rafael Uribe
Droguería Maxidrogas;KR 77A 66 01;2241053;2;Engativá
Droguería Maxidrogas;AK 104 137B 39 INT 8;5371536;2;Suba
Droguería Maxifarma;KR 106 130 04;5360887;2;Suba
Droguería Maxirebajas;KR 116C 66B 05;4403280;2;Engativá
Droguería Maxirebajas No 1;CL 64A 111B 04;4345762;2;Engativá
Droguería Mayor Drogas JHS;KR 29 44 01 SUR;5645909;2;Rafael Uribe
Droguería Mayor Drogas JHS;KR 19 44 01 SUR;7005275;2;Rafael Uribe
Droguería Mayorama;CL 51 73 83;4108188;2;Engativá
Droguería Mazuera;CL 175 63 41;6718830;2;Suba
Droguería Mazuren;CL 149 45 10;2585170;2;Suba
Droguería Medi Precios;KR 100A 134 05;3862589;2;Suba
Droguería Medica De Colombia Dromecol;CL 163 8 C 21 LC 2;4692882;2;Usaquén
Droguería Medical Farma;CL 67 118 A 09;5402394;2;Engativá
Droguería Medical Farma;CL 67 118 B 20;5402394;2;Engativá
Droguería Medical Group;AK45 137 25;6278578;2;Suba
Droguería Medical La Luz;CL 131 102A 10;6845022;2;Suba
Droguería Medical Plus;AC 116 9 53;2147908;2;Usaquén
Droguería Medicalex HS;CL 115A SUR 3 75 ESTE;4642021;2;Usme
Droguería Medicals Salud;KR 2 136 40 SUR;7660021;2;Usme
Droguería Medicals Salud;KR 3 136 40 SUR;7660021;2;Usme
Droguería Medicar De La 131;CL 71 73 A 02;2245374;2;Engativá
Droguería Medicar MD;AC 6 70 B 71;2621505;2;Sur
Droguería Medicis De La 68;KR 110 D 72 03;2294992;2;Engativá
Droguería Medicundi;KR 73 A 64 F 51;2527943;2;Engativá
Droguería Medifarma;CL 156 8 17 PS 1;4660466;2;Usaquén
Droguería Medifarma F.R.;KR 91 139 02;6812358;2;Suba
Droguería Medik Pharma Farmacenter;CL 151 13 A 71 LC 33;6152751;2;Usaquén
Droguería Medipharma;CL 151 111A 25 CASA 33;4774533;2;Suba
Droguería Medipharma De Colombia;KR 111B 136A 34;6030325;2;Suba
Droguería Medipharma Plus;AC 72 98A 04;7591702;2;Engativá
Droguería Medipharma Spress;CL 167 49 21;6772604;2;Suba
Droguería Medipos A;KR 67 60A 28 SUR;7111258;2;Vista Hermosa
Droguería Medisalud;KR 22 30 10 SUR;0;2;Rafael Uribe
Droguería Medisalud;KR 116 17F 32;4413757;2;Fontibón
Droguería Medisalud;CL 95 69B 15 LC 1;4672768;2;Suba
Droguería Medisalud CS;KR 70G 100 54;2269416;2;Suba
Droguería Medisalud No 3;KR 105F 70D 08;4408609;2;Engativá
Droguería Medisanar 1;CL 23D 103B 44;4187143;2;Fontibón
Droguería Medizer;CL 128B 121C 73;6973831;2;Suba
Droguería Megadrogas;KR 12D 22 06 SUR;2725876;2;Rafael Uribe
Droguería Megafamiliar;KR 97A BIS 158 06;5351013;2;Suba
Droguería Megafarma Express 167;CL 167 54D 48 LC 6;6719030;2;Suba
Droguería Megager;KR 20D 66 86 SUR;7159399;2;Vista Hermosa
Droguería Megapharma Plus;AC 63 105 I 58;5420860-5420860;2;Engativá
Droguería Megarebajas;CL 164 18 60;6793391;2;Usaquén
Droguería Megasalud;KR 20 28 03 SUR;2785218;2;Rafael Uribe
Droguería Memphys;KR 77 A 71 84;2240026;2;Engativá
Droguería Mercadrogas;CL 63A SUR 72 11;7760319;2;Vista Hermosa
Droguería Mercurial;KR 107 22F 25;2678144;2;Fontibón
Droguería Merk Salud;CL 2 53 D 82;9101101;2;Sur
Droguería Metro Recreo L;KR 97C 71 47 SUR;7839145;2;Pablo VI Bosa
Droguería Meyer Farmaceutica;KR 103D 86 85 LC 01;4318875;2;Engativá
Droguería Michel Bogota;CL 150 48 33;2580923;2;Suba
Droguería Mil Veinte;CL 64F 74A 48;4302987;2;Engativá
Droguería Milenium No 1;KR 109A 63 38;4310442;2;Engativá
Droguería Millares;KR 97 16F 15;4215824;2;Fontibón
Droguería Mimi;KR 103 D 82 55;2293818;2;Engativá
Droguería Minimarket 2000;CL 74 B 69 B 70;3119328;2;Engativá
Droguería Minimarket 2000;KR 69M 74B 02;3119328;2;Engativá
Droguería Minimarket Homefarma;KR 58 137 12;2262431;2;Suba
Droguería Minimarket Sotileza;TV 60 128 28 LC 1;2534112;2;Suba
Droguería Minimarketing Farma Home;KR 56 153 15;3551784;1;Suba
Droguería Minimercado Economia;CL 167 55 D 09 LC 1;6710500;2;Suba
Droguería Minimercado Lozano;AK 50 1 55;7568694;2;Sur
Droguería Minuto De Dios;CL 80 73 A 28;4303398;2;Engativá
Droguería Mira Por Tu Salud;CL 63 SUR 30 54;0;2;Vista Hermosa
Droguería Miramar JVAC;CL 98 68 64;2531354;2;Suba
Droguería Mirandela Plaza;KR 54D 187 14 LC 102;6034520;2;Suba
Droguería Miravalle;CL 69F SUR 2A 83;7620473;2;Usme
Droguería MK;CL 20 103A 83;2983764;2;Fontibón
Droguería Modelia;KR 50 2 A 39;5633197;2;Sur
Droguería Modelo Norte;CL 65 A 51 47;5403022;2;Chapinero
Droguería Modelo Norte;KR 54 67 A 25;6075595;2;Chapinero
Droguería Modelo Norte Sucursal 1;CL 65 A 51 47;5403022;2;Chapinero
Droguería Moderna;CL 17 SUR 25 04;4767200;2;Rafael Uribe
Droguería Moderna Express;CL 48C SUR 31 95 LC1;2382908;2;Tunjuelito
Droguería Moderna Spress;CL 112 70B 31;5338832;2;Suba
Droguería Moderna Spress No 2;KR 101 72 27;2292252;2;Engativá
Droguería Modulo 4;DG 23 69 11 MD 4 LC 104;4285406;2;Fontibón
Droguería Modulo 4;DG 23 69 60 MD 4 LC 104;4285406;2;Fontibón
Droguería Monserat;CL 100 61 83;2263916;2;Chapinero
Droguería Monteblanco;KR 1 94 05 SUR;7612981;2;Usme
Droguería Montecarmelo;KR 5 B 127 A 35 LC 1;2582812;2;Usaquén
Droguería Montesion;CL 32 SUR 21B 31;3615883;2;Rafael Uribe
Droguería Montreal;CL 54 7 44;2493714;2;Chapinero
Droguería Mora Salud;DG 84 A 76 09;2512764;2;Engativá
Droguería Morales De La 18;KR 27 71H 34 SUR;7724740;2;Vista Hermosa
Droguería Morales SY;CL 130C 101B 11;3032190;2;Suba
Droguería Movifarma;KR 106A 70B 06;2289839;2;Engativá
Droguería Movifarma SE;CL 69 97 63;2918510;2;Engativá
Droguería Multicentro;CL 98 68B 38;2716149;2;Suba
Droguería Multifamiliar Niza;CL 118 60 30 LC 2;6434558;2;Suba
Droguería Multifarma Medica;KR 54A 167 22;6782895;2;Suba
Droguería Multimarcas;TV 73B 62 27 SUR;0;2;Vista Hermosa
Droguería Multimarcas;KR 73 63 06 SUR;7822679;2;Vista Hermosa
Droguería Multipharma;AC 116 71A 20;2718905;2;Suba
Droguería Multipharma LA;DG 82G 75 07;5372458;2;Engativá
Droguería Multiservicios;DG 45F SUR 15A 25 LC 9;0;2;Rafael Uribe
Droguería Mundo Express SAS;CL 74 11 11;3211794;2;Chapinero
Droguería Mundo Farma;CL 135A 91 15;6824133;2;Suba
Droguería Mundo Pharmaceutico;KR 87 72 A 40;4905407;2;Engativá
Droguería Mundofarma;CL 95 47 A 28 LC 2;7552170;2;Chapinero
Droguería Mundopharma;KR 100A 133A 24;0;2;Suba
Droguería Mundopharma Plus;AC 72 104 31;2291938;2;Engativá
Droguería Murano;CL 45 27 11;3690108;2;Chapinero
Droguería My Pharma;KR 114 152D 74;5363620;2;Suba
Droguería Mytsalud;KR 27 48A 76 SUR;4416452;2;Tunjuelito
Droguería Nahomi;TV 76 A 47 02;4109924;2;Engativá
Droguería Narvaez 2;KR 31 D 4 A 05;2476973;2;Sur
Droguería Natalia RD;KR 6 ESTE 97 22 SUR;;2;Usme
Droguería Nati;KR 7 ESTE 86B 52 SUR;7644136;2;Usme
Droguería Natur Farma;TV 107A 16H 56 LC 1;3060358;2;Fontibón
Droguería Nava;CL 44 SUR 20 04 LC 104;7677987;2;Rafael Uribe
Droguería Navel 1;KR 18 A 161 74;5262898;2;Usaquén
Droguería Nayla;KR 70 22D 64 LC 1;4163369;2;Fontibón
Droguería Nazareno;KR 119A 63B 76;4350564;2;Engativá
Droguería Nelsalud;KR 101 71B 40;2286848;2;Engativá
Droguería New Farma 121;KR 121 65 04 PI 1;7969511;2;Engativá
Droguería New Farma 127;CL 127 C 3 60;6153010;2;Usaquén
Droguería New Orleans De La 100;KR 100 23G 25;4151140;2;Fontibón
Droguería New Pharmacys;CL 151 C 107 10 LC 9;8026018;2;Suba
Droguería New Planet 2;KR 49B 170 41;6699695;2;Suba
Droguería Nicksalud;CL 77 A 90 15 LC 2;4303362;2;Engativá
Droguería Nico Salud;CL 78 SUR 1G 26 ESTE;7621536;2;Usme
Droguería Nicole;KR 117 A 69 A 44;5411286;2;Engativá
Droguería Nicole;KR 104 78 F 05;5476263;2;Engativá
Droguería Nini;DG 46 SUR15 05;4836410;2;Rafael Uribe
Droguería Norcafan;CL 132D 144A 01;6875942;2;Suba
Droguería Normandia;CL 51 70 C 31;4101565;2;Engativá
Droguería Noroccidente;DG 81 I 73 B 17 LC 2;5386150;2;Engativá
Droguería Noxpifarma;CL 150A 103C 38;5366532;2;Suba
Droguería NS Condor;KR 112A 72F 15;4425184;2;Engativá
Droguería Nuestra Colombia;KR 18C 79 35 SUR;7665882;2;Vista Hermosa
Droguería Nueva Aures II;CL 131 108 03;4811834;2;Suba
Droguería Nueva Bellavista;KR 14 ESTE 74C 16 SUR PISO 1;0;2;Usme
Droguería Nueva Capellania;CL 19A 91 05 LC 20;3568639;2;Fontibón
Droguería Nueva Cortijo;KR 116B 80 51;4425735;2;Engativá
Droguería Nueva Economia HR;KR 120 17F 23;5472286;2;Fontibón
Droguería Nueva Electra;KR 129 131A 03;7968106;2;Suba
Droguería Nueva Española;TV 76 89 41;4362785;2;Engativá
Droguería Nueva Esperanza;CL 45 14 67;4616078;2;Chapinero
Droguería Nueva Farma;CL 55 SUR 18B 23;0;2;Tunjuelito
Droguería Nueva Galicia;CL 62D SUR 74 22;4834959;2;Vista Hermosa
Droguería Nueva Generifarma SRJG;CL 56 SUR 30 09;7416758;2;Tunjuelito
Droguería Nueva Ginebra;CL 128 7 C 34;6144140;2;Usaquén
Droguería Nueva Jerusalén;CL 72 C SUR 48 10;7160354;2;Vista Hermosa
Droguería Nueva Lisboa;AC 72 80 69;4304921;2;Engativá
Droguería Nueva Miravalle;KR 3C 74D 56 SUR;7735391;2;Usme
Droguería Nueva Salud Y Vida;CL 159 8 B 19;6789653;2;Usaquén
Droguería Nueva Santa Marta;KR 69 63 A 48;2582129;2;Engativá
Droguería Nueva Santafe;KR 17 16 25 SUR;2722492;2;Rafael Uribe
Droguería Nueva Veraguas;KR 31 B 4 20;2775404;2;Sur
Droguería Nueva Vida;CL 4 D 67 26;2615593;2;Sur
Droguería Nueva Vida Saludable;CL 86 95 D 66 BL I;4418361;2;Engativá
Droguería Nuevo Dorado;TV 60 118 77;2530515;2;Suba
Droguería Nuevo Galeón;CL 64 SUR 22J 03;7152034;2;Vista Hermosa
Droguería Nuevo Horizonte;CL 67 B 60 39;5408036;2;Chapinero
Droguería Nuevo Horizonte;KR 99 69A 81 LC 08;5432921;2;Engativá
Droguería Nuevo Milenio;CL 67 115 A 83;4408530;2;Engativá
Droguería Nuevo Milenio;KR 7 82 62;6162050;2;Chapinero
Droguería Nuevo Recuerdo;KR 37 25 A 85;2441175;2;Chapinero
Droguería Numar MC;CL 75 93 A 25;2528357;2;Engativá
Droguería O & F Medical Pharma;CL 70A 90B 04;5458976;2;Engativá
Droguería Oasis.Com;CL 151 109A 54 CASA 39;8055160;2;Suba
Droguería Oasiscom;CL 151 109A 54 CASA 39;8055160;2;Suba
Droguería Obdufan;CL 128A 52 30;2586750;2;Suba
Droguería Odime;KR 3A ESTE 3B 90;2894925;2;Centro Oriente
Droguería Ofir;KR 100 25A 23 LC 4;2986740;2;Fontibón
Droguería Olimpica;TV 85 63 43;2513731;2;Engativá
Droguería Olimpica;CL 127 60 96NIZA;2517951;2;Suba
Droguería Olimpica;CL 16 SUR 16 43;3660230;2;Rafael Uribe
Droguería Olimpica;AV BOYACA 53 31;4109218;2;Engativá
Droguería Olimpica 1473 Niza;AC 127 60 96;2718448;2;Suba
Droguería Olimpica 170;KR 58 169A 43;6694376;2;Suba
Droguería Olimpica 438 Cedritos;CL 140 12 B 61 LC 7;2594910;2;Usaquén
Droguería Olimpica Av Chile;CL 72 13 85;2558884;2;Chapinero
Droguería Olimpica Av Jimenez;AV JIMENEZ 4 74 IN;3340015;2;Centro Oriente
Droguería Olimpica Cc Santa Barbara;CL 114 6 A 92 LC 2129;6125947;2;Usaquén
Droguería Olimpica De Suba;KR 92 145 15 LC 2;0;2;Suba
Droguería Olimpica Germania;KR 4 18 42 IN;2845170;2;Centro Oriente
Droguería Olimpica Lisboa 449;AC 134 7 B 83 LC 14;6273977;2;Usaquén
Droguería Olimpica Lisboa SA;AC 134 7 B 83 LC 14;6273977;2;Usaquén
Droguería Olimpica No 452;CL 68 A 90 A 31;4368119;2;Engativá
Droguería Olimpica Puente Aranda 440;KR 50 21 12;4146761;2;Sur
Droguería Olimpica RG;DG 48Y SUR 5Q 46;2797216;2;Rafael Uribe
Droguería Olimpica SA;TV 55 98 A 66;6355494;2;Chapinero
Droguería Olimpica STO 457 Palatino;AK 7 139 07 LC 101;6266319;2;Usaquén
Droguería Olimpica Villa Magdala;KR 21 153 25 LC 1;2742510;2;Usaquén
Droguería Olmar;CL 162 7 G 55 LC 1;6745568;2;Usaquén
Droguería Omar Danilo;CL 89 SUR 2A 87 ESTE;7643557;2;Usme
Droguería Omega;KR 25 47A 61 SUR LC 1;2305659;2;Tunjuelito
Droguería Orfidrogas;KR 64 75 A 09;6601810;2;Chapinero
Droguería Oriental De La 94;CL 94 SUR 5H 53 ESTE;7685558;2;Usme
Droguería Orquidea Real;KR 40 25 73 LC 2;3409818;2;Chapinero
Droguería Orquideas;KR 14 B 161 54 LC 6;6737032;2;Usaquén
Droguería Ortoforma;KR 103B 152C 15 LC 7;6843162;2;Suba
Droguería Ortopedica;KR 11A 3 55 SUR;4082472;2;Rafael Uribe
Droguería Ospicor;CL 64A SUR 72 96;7758663;2;Vista Hermosa
Droguería Otc Express;CL 161 16 D 24;6745509;2;Usaquén
Droguería Oviedo;KR 54A 129B 71;2266679;2;Suba
Droguería Oviedo No 1;KR 113 77 02;4381533;2;Engativá
Droguería Oviedo No 2;CL 79 112 F 04;4358665;2;Engativá
Droguería Oviedos No 3;KR 107 78 D 10;2275694;2;Engativá
Droguería Pacific;KR 76 73 46;2527988;2;Engativá
Droguería Pague Menos Vital;KR 40 24 A 65;2680642;2;Chapinero
Droguería Paguemenos;KR 75 58A 21 SUR;7193711;2;Vista Hermosa
Droguería Paguemenos 2012;CL 77B SUR 0 02 INT 1;7678970;2;Usme
Droguería Palencia;KR 114 147A 53;5369508;2;Suba
Droguería Panamericana Dos;CL 137 107 34;6930984;2;Suba
Droguería Panamericanacom;CL 132C BIS 107B 89;6886958;2;Suba
Droguería Papeleria 93;KR 13 93 93;6346213;2;Chapinero
Droguería Paramedical;KR 113 75 09;4355994;2;Engativá
Droguería Parma De;KR 70 65 02;4724210;2;Engativá
Droguería Parque Central;KR 54 64 A 75 LC 2 A;4631453;2;Chapinero
Droguería Pasadena;CL 103B 50 20;2567651;2;Suba
Droguería Pasadena 106;CL 106 52 49;2575297;2;Suba
Droguería Pasteur;AC 72 106 A 06;2290374;2;Engativá
Droguería Patty Farma;CL 69A 93 04;2529445;2;Engativá
Droguería Patty Pharma;CL 69A 93 04;2529445;2;Engativá
Droguería Paulov;KR 80 A 77 19;4341743;2;Engativá
Droguería Pentafarma;KR 77 BIS 76 04;4370061;2;Engativá
Droguería Pepe;AC 80 76 D 32;4915430;2;Engativá
Droguería Pepe Sierra 116;AC 116 53 63;2147054;2;Suba
Droguería Perla 2000;TV 16J 45D 73 SUR;7676412;2;Rafael Uribe
Droguería Perpetuo Socorro;CL 40 A BIS 51 B 05 SUR;7132069;2;Sur
Droguería Pharma Azul;KR 52A 134A 11 LC 102;6262724;2;Suba
Droguería Pharma Bogota;KR 8 160 22;6708355;2;Usaquén
Droguería Pharma Costa;KR 83 72A 13;4753452;2;Engativá
Droguería Pharma Express;KR 69 68 A 34;6305397;2;Engativá
Droguería Pharma Express JG;CL 5 SUR 11B 44;2312000;2;Rafael Uribe
Droguería Pharma Express JN;KR 85 B 24 F 13;5478718;2;Fontibón
Droguería Pharma Fast;CL 142B 113 11;6896573;2;Suba
Droguería Pharma Generics;KR 9A 22A 07 SUR;0;2;San Cristóbal
Droguería Pharma Health;TV 60 100 61;2719926;2;Suba
Droguería Pharma Mas;KR 8 H 166 77;4758005;2;Usaquén
Droguería Pharma Medic Rl;CL 80 BIS A 94 36;7954995;2;Engativá
Droguería Pharma Medical;KR 69 A 65 98;2504910;2;Engativá
Droguería Pharma Norte Plus;KR 53 44A 88;8027433;2;Suba
Droguería Pharmacolombia SAS;CL 127D 58 70;3003977;2;Suba
Droguería Pharmactivos;AK 50 4 18;2902902;2;Sur
Droguería Pharmagan;KR 32 A 25 B 24;2444927;2;Chapinero
Droguería Pharmaid 70;KR 69 63C 35;2254943;2;Engativá
Droguería Pharmanova;KR 105 F 69 A 24;4357644;2;Engativá
Droguería Pharmasol;CL 64 D 70 B 33;4939527;2;Engativá
Droguería Picasso;CL 163 62 35;6703251;2;Suba
Droguería Plaza Norte;CL 186 55B 01;6746677;2;Suba
Droguería Plenifarma;KR 110 70 A 69;4406521;2;Engativá
Droguería Plenitud;KR 53 104B 24;6100786;2;Suba
Droguería Plus LS;CL 79 112F 04;4358665;2;Engativá
Droguería Policarpa;CL 4 SUR 11 00;0;2;Rafael Uribe
Droguería Policlinico Del Olaya;KR 20 22 26 SUR;3660096;2;Rafael Uribe
Droguería Policlinico Del Olaya;KR 21 22 68 SUR;3660096;2;Rafael Uribe
Droguería Policlinico H G;KR 5 26C 15 LC 8;7495155;2;Centro Oriente
Droguería Polidrogas;CL 155 113B 03;5393245;2;Suba
Droguería Polipharma;CL 35B SUR 25A 64;5996490;2;Rafael Uribe
Droguería Polipharma Ltda;CL 135A 125 03;0;2;Suba
Droguería Popular Amazonas;KR 105 75 21;2278526;2;Engativá
Droguería Portal Alamos;CL 64 G 98 A 02;4723833;2;Engativá
Droguería Porvenir II;CL 62I SUR 74D 21;5799822;2;Vista Hermosa
Droguería Positiva Bogota;CL 156 8 B 10;0;2;Usaquén
Droguería Prado I;CL 128B 45A 14 LC 02;5204425;2;Suba
Droguería Precios Justos;KR 115 152D 52;6857610;2;Suba
Droguería Premier Salud;CL 132D 157 71;6877799;2;Suba
Droguería Premier Salud;KR 112A 141A 21;6883733;2;Suba
Droguería Premium 2 SAS;CL 119 7 52 LC 2;6208487;2;Usaquén
Droguería Premium SAS;AK 9 117 A 93;6378607;2;Usaquén
Droguería Presalud;KR 56 2 A 69;2620995;2;Sur
Droguería Prevenar;CL 72 22 70;5400606;2;Chapinero
Droguería Prevent Salud;DG 51 SUR 17A 49;7600607;2;Tunjuelito
Droguería Prexsalud;CL 133A 106 23;6875687;2;Suba
Droguería Primavera;KR 41 A 4 D 47;2473285;2;Sur
Droguería Principal De Verbenal;CL 187 16 24 LC 2;5262330;2;Usaquén
Droguería Proca;KR 8 163 03;5263261;2;Usaquén
Droguería Prodescuentos;KR 4 13 63;4509931;2;Centro Oriente
Droguería Prodescuentos;KR 24D 6 49 SUR;7584290;2;Rafael Uribe
Droguería Prodisphar;KR 73G 62D 05 SUR;7751970;2;Vista Hermosa
Droguería Proetica;AK 45 150A 11 LC 106;2581343;2;Suba
Droguería Profamedica;KR 111A 22D 59;4215496;2;Fontibón
Droguería Profarmac;DG 46 SUR 52 95;2701798;2;Tunjuelito
Droguería Promedis;TV 76 81 I 30;4372769;2;Engativá
Droguería Promo Salud JM;AK 50 5 81;2605504;2;Sur
Droguería Promo Salud L R;CL 7 15 18;3410305;2;Centro Oriente
Droguería Promo Salud MD;KR 71 62A 25 SUR CA 6;7190594;2;Vista Hermosa
Droguería Promosalud;CL 68D SUR 1B 23 ESTE;7621317;2;Usme
Droguería Promosalud;CL 91 SUR 6C 16 ESTE;7683928;2;Usme
Droguería Pronto Express German;CL 2 D 39 A 02;7270565;2;Sur
Droguería Prosalud Bio;KR 114 152D 09 LC 1;5363545;2;Suba
Droguería Prosalud RRC;KR 17A 79 34 SUR;7914262;2;Vista Hermosa
Droguería Provisalud B Y E;CL 33 SUR 39 26;0;2;Sur
Droguería Provisalud Versalles;CL 163 A 7 F 06;4625845;2;Usaquén
Droguería Puente De Alcala;CL 137 45A 12;5201633;1;Suba
Droguería Puente Largo;CL 106 54 93;6028167;2;Suba
Droguería Punto 53;CL 53 9 24;4875093;2;Chapinero
Droguería Punto Celesty;CL 54A SUR 25 05 LC 2;2704814;2;Tunjuelito
Droguería Punto Cinco No 2;DG 84 77 01;5365667;2;Engativá
Droguería Punto De Dispensacion Centennario;CL 27 SUR 26 24 LC 2;3730200;2;Rafael Uribe
Droguería Punto Economico;KR 79 A 11 B 40 IN E LC 1;5704943;2;Sur
Droguería Punto Farma;CL 17 SUR 29B 40;2035752;2;Rafael Uribe
Droguería Punto Farma Montearroyo Principal No 1;AC 147 13 07;6098383;2;Usaquén
Droguería Punto Farma No 1;CL 127B 50A 65;2583890;2;Suba
Droguería Punto Farma No 19;CL 169B 67 61;6780300;2;Suba
Droguería Punto Fharma;KR 74 59A 23 SUR;3096731;2;Vista Hermosa
Droguería Punto Pharma No 8;KR 69 24 17;4100033;1;Fontibón
Droguería Punto Salud;KR 27B 71GBIS 02 SUR;0;2;Vista Hermosa
Droguería Punto Verde;AK 68 17 46 SUR;4176439;2;Sur
Droguería Punto Vital VA;KR 96C 20A 10;4041529;2;Fontibón
Droguería Puntofarma;AK 58 137 12;2262431;2;Suba
Droguería Puntofarma;CL 100 70G 75;6130539;2;Suba
Droguería Puntofarma No 16;CL 151 12 B 13 LC 1;6250495;2;Usaquén
Droguería Puntopharma;KR 74 59A 23 SUR;3096731;2;Vista Hermosa
Droguería Quimica Calle 14;TV 24I 14 72 SUR;2781096;2;Rafael Uribe
Droguería Quinta De Santa Rita;KR 145 145A 38;2212223;2;Suba
Droguería Quintas De Bolivia;KR 116A 82 46;4345171;2;Engativá
Droguería R Salud;CL 138D 152 21;6979203;2;Suba
Droguería Rapidrogas JR;KR 12 BIS 21 05SUR;2394322;2;Rafael Uribe
Droguería Rapisalud;KR 51 D 30 17 SUR;2706018;2;Sur
Droguería Real De Drogas;KR 77 A 68 B 04;2515094;2;Engativá
Droguería Real De Drogas;KR 80 72B 32;4382046;2;Engativá
Droguería Real De Drogas;CL 63 H 119 B 97;5441521;2;Engativá
Droguería Real De Drogas No 10;KR 77 A 64 G 37;4913513;2;Engativá
Droguería Real De Drogas No 9;KR 71B 71A 46;2520870;2;Engativá
Droguería Real Dorado;CL 63H 117 18;5407554;2;Engativá
Droguería Real Salud;CL 43 SUR 12B 72;0;2;Rafael Uribe
Droguería Real Salud;TV 14C 32D 80 SUR;5697973;2;Rafael Uribe
Droguería Real Y Salud GT;CL 43 SUR 12B 72;7144234;2;Rafael Uribe
Droguería Redfarma;KR 75 57R 50 SUR LC 7;0;2;Vista Hermosa
Droguería Refous;CL 148 95 83;6820962;2;Suba
Droguería Refugio 2010;KR 108 BIS 135A 01;5356494;2;Suba
Droguería Reina De La 64;AC 64 C 69 F 11;2314921;2;Engativá
Droguería Renacer JM;KR 103A BIS 16H 62;2983392;2;Fontibón
Droguería Revive;KR 103B 151A 05;5375985;2;Suba
Droguería Revivir;KR 103B 151A 05;5375985;2;Suba
